"user_id","trope_id"
"1","tr03763"
"1","tr01836"
"1","tr05090"
"1","tr06720"
"1","tr04309"
"1","tr06277"
"1","tr02030"
"1","tr04025"
"2","tr02429"
"2","tr04437"
"2","tr04411"
"2","tr05867"
"2","tr06091"
"2","tr00248"
"2","tr04920"
"2","tr02756"
"2","tr06473"
"3","tr00709"
"3","tr05506"
"3","tr02071"
"3","tr03656"
"3","tr04176"
"3","tr00523"
"4","tr02481"
"4","tr05128"
"4","tr02208"
"4","tr01279"
"4","tr05566"
"4","tr01902"
"4","tr06253"
"4","tr06529"
"4","tr02120"
"5","tr04041"
"5","tr05946"
"5","tr01899"
"5","tr00596"
"5","tr03939"
"5","tr01792"
"5","tr05575"
"5","tr06401"
"5","tr01604"
"5","tr02949"
"6","tr03275"
"6","tr01420"
"6","tr00804"
"6","tr00204"
"6","tr02414"
"6","tr06396"
"7","tr04475"
"7","tr03165"
"7","tr04639"
"7","tr05545"
"7","tr04859"
"7","tr03708"
"8","tr01734"
"8","tr03441"
"8","tr03847"
"8","tr05101"
"8","tr03260"
"8","tr02086"
"8","tr01852"
"9","tr01789"
"9","tr05579"
"9","tr01196"
"9","tr03225"
"9","tr04763"
"9","tr01179"
"10","tr05643"
"10","tr01395"
"10","tr04726"
"10","tr00160"
"10","tr02849"
"10","tr04889"
"10","tr04347"
"11","tr01485"
"11","tr06129"
"11","tr00422"
"11","tr02521"
"11","tr04166"
"11","tr03599"
"12","tr01230"
"12","tr06168"
"12","tr05430"
"12","tr01891"
"12","tr00720"
"12","tr00544"
"13","tr01399"
"13","tr03355"
"13","tr04626"
"13","tr00564"
"13","tr04372"
"13","tr05318"
"13","tr00959"
"14","tr05265"
"14","tr04704"
"14","tr02984"
"14","tr03398"
"14","tr04096"
"14","tr02068"
"15","tr01557"
"15","tr00846"
"15","tr05607"
"15","tr05685"
"15","tr02296"
"15","tr02941"
"16","tr02286"
"16","tr04445"
"16","tr00818"
"16","tr00786"
"16","tr02294"
"16","tr04068"
"16","tr00840"
"16","tr04054"
"16","tr01941"
"16","tr06339"
"17","tr06271"
"17","tr02573"
"17","tr03507"
"17","tr05220"
"17","tr00409"
"17","tr01508"
"17","tr01641"
"17","tr00447"
"17","tr02006"
"17","tr06462"
"18","tr03458"
"18","tr06544"
"18","tr03121"
"18","tr02358"
"18","tr04318"
"18","tr03389"
"18","tr02488"
"18","tr04653"
"18","tr01636"
"19","tr05574"
"19","tr03078"
"19","tr06655"
"19","tr06239"
"20","tr01315"
"20","tr04747"
"20","tr00454"
"20","tr04519"
"20","tr01203"
"20","tr00292"
"20","tr02700"
"20","tr04503"
"20","tr04080"
"21","tr02656"
"21","tr03724"
"21","tr02263"
"21","tr04778"
"21","tr00629"
"21","tr00203"
"21","tr04096"
"22","tr05921"
"22","tr03425"
"22","tr03586"
"22","tr04700"
"22","tr00236"
"22","tr01997"
"22","tr02165"
"22","tr04410"
"23","tr05068"
"23","tr04392"
"23","tr04429"
"23","tr04930"
"23","tr01549"
"23","tr02671"
"23","tr00544"
"23","tr02337"
"23","tr01292"
"23","tr03580"
"24","tr01462"
"24","tr06644"
"24","tr00225"
"25","tr05394"
"25","tr03968"
"25","tr02346"
"26","tr06397"
"26","tr02155"
"26","tr04176"
"26","tr06212"
"26","tr03038"
"26","tr00863"
"26","tr05175"
"26","tr03986"
"26","tr02485"
"27","tr00319"
"27","tr01345"
"27","tr01092"
"28","tr00623"
"28","tr00007"
"28","tr03803"
"29","tr00663"
"29","tr05709"
"29","tr05764"
"29","tr00030"
"29","tr03149"
"29","tr02018"
"29","tr05777"
"30","tr01761"
"30","tr00528"
"30","tr00931"
"30","tr00405"
"30","tr04732"
"31","tr01199"
"31","tr04829"
"31","tr04077"
"31","tr06437"
"31","tr06008"
"31","tr02050"
"31","tr01231"
"31","tr02885"
"31","tr03129"
"31","tr06454"
"32","tr01113"
"32","tr01357"
"32","tr06701"
"32","tr04332"
"32","tr02491"
"32","tr04729"
"32","tr05313"
"33","tr02046"
"33","tr03018"
"33","tr02771"
"34","tr01358"
"34","tr03182"
"34","tr02905"
"34","tr02399"
"34","tr05645"
"34","tr06659"
"35","tr04329"
"35","tr01648"
"35","tr05154"
"35","tr00145"
"35","tr01610"
"35","tr02438"
"35","tr05799"
"35","tr00876"
"35","tr01995"
"36","tr01712"
"36","tr05113"
"36","tr00351"
"36","tr02716"
"36","tr03010"
"36","tr02903"
"36","tr06063"
"36","tr02732"
"36","tr05360"
"37","tr06517"
"37","tr05556"
"37","tr04950"
"37","tr05653"
"37","tr06687"
"37","tr04679"
"37","tr01040"
"38","tr02160"
"38","tr03770"
"38","tr03511"
"38","tr04951"
"38","tr02942"
"38","tr03184"
"38","tr02877"
"38","tr06738"
"39","tr01520"
"39","tr00713"
"39","tr00455"
"39","tr04267"
"40","tr02398"
"40","tr02208"
"40","tr06018"
"40","tr05855"
"40","tr01288"
"40","tr04244"
"40","tr02062"
"40","tr01428"
"40","tr05005"
"41","tr06235"
"41","tr02678"
"41","tr00851"
"41","tr02513"
"41","tr02390"
"41","tr04439"
"41","tr05539"
"41","tr00414"
"41","tr00049"
"41","tr01541"
"42","tr03346"
"42","tr04484"
"42","tr01257"
"42","tr02735"
"42","tr01023"
"42","tr06647"
"42","tr05402"
"42","tr01013"
"42","tr05545"
"43","tr04264"
"43","tr05507"
"43","tr06636"
"43","tr05003"
"44","tr05822"
"44","tr02891"
"44","tr00597"
"45","tr06432"
"45","tr01634"
"45","tr04918"
"46","tr05499"
"46","tr02413"
"46","tr03173"
"46","tr02164"
"46","tr01272"
"47","tr00054"
"47","tr04785"
"47","tr05495"
"47","tr04096"
"47","tr03145"
"48","tr00793"
"48","tr02358"
"48","tr05003"
"49","tr06796"
"49","tr04457"
"49","tr01204"
"49","tr06222"
"49","tr00165"
"49","tr06112"
"49","tr03948"
"49","tr04267"
"49","tr02425"
"49","tr03701"
"50","tr01293"
"50","tr01156"
"50","tr00277"
"50","tr03875"
